x[m],y[m],z[m],pump_fraction,gi[rad/s],u_norm
-2.917304931838294148e-04,-1.326284852986665732e-04,-8.787990528421007986e-04,1.171422950734184315e-01,6.425627903158533154e+05,9.768809282233381630e-01
-3.938677905843063285e-05,-5.405306574707000516e-05,6.567145698919010051e-04,1.171422950734184315e-01,6.496290457786187762e+05,9.876236763244791161e-01
-1.495337266967917836e-03,5.772921038058872545e-04,-3.278423816907623397e-04,8.523887999522831993e-02,6.377347319959502202e+05,9.695408858739438251e-01
1.148189565883491955e-03,8.737490444179239280e-04,-8.783042149789983604e-04,1.562238908362101608e-01,6.328205571652642684e+05,9.620699215691284056e-01
-1.255404909636404073e-03,-2.827245885365576358e-04,8.737655247009119852e-05,1.562238908362101608e-01,6.448803849453143775e+05,9.804043410741825060e-01
-5.892231559593428180e-04,-9.691630665751054452e-04,5.295515001367867612e-04,1.562238908362101608e-01,6.496880399708541809e+05,9.877133645263783679e-01
3.520169920106299712e-04,9.570647967489869738e-04,1.690077401891846470e-04,1.562238908362101608e-01,6.562259466952616349e+05,9.976528700281478423e-01
-8.717016606250620409e-04,8.525199431394030972e-04,3.481979542473160531e-04,1.562238908362101608e-01,6.493461684814109467e+05,9.871936211752635471e-01
-7.405665532036372067e-04,-3.234037437073663005e-04,2.876084836663640384e-03,1.646657906352593237e-01,5.042017145696522202e+05,7.665321527542681146e-01
-6.363053304487945082e-04,2.456219458614224008e-04,5.747846141183381640e-04,1.171422950734184315e-01,6.482883230921560898e+05,9.855853908180962630e-01
3.860178311824970167e-04,2.673063638886878776e-04,1.072232221421869341e-03,1.171422950734184315e-01,6.350067255081413314e+05,9.653935285258781196e-01
1.604545608970470378e-03,3.963928090097192645e-04,-1.390092041654851550e-03,8.523887999522831993e-02,6.019715603971302044e+05,9.151705413812400991e-01
2.907757509888242214e-05,1.429455852398783767e-04,2.555374615085884691e-04,1.171422950734184315e-01,6.565300963593482738e+05,9.981152653156584176e-01
-7.825478115794617029e-04,9.846873691629592484e-04,5.418574233832892289e-04,1.562238908362101608e-01,6.473110513037628261e+05,9.840996555932121082e-01
3.773408244065521821e-04,-1.216571653069197520e-03,-2.551353641288610992e-04,1.562238908362101608e-01,6.553878665072037838e+05,9.963787462158536501e-01
